id,category,sub_category,lat,lon,geometry,cluster
283886302,education,college,28.598660600000002,77.3226939,POINT (28.5986606 77.3226939),2
283919119,education,college,28.603583299999997,77.3216501,POINT (28.6035833 77.3216501),2
287001367,education,college,28.5459275,77.2704418,POINT (28.5459275 77.2704418),2
289405082,education,college,28.635005600000003,77.2369937,POINT (28.6350056 77.2369937),2
289883321,education,college,28.633367800000002,77.2336204,POINT (28.6333678 77.23362040000001),2
290515053,education,college,28.7078145,77.2141771,POINT (28.7078145 77.2141771),2
290669112,education,college,28.725908500000003,77.203141,POINT (28.7259085 77.203141),2
291058353,education,college,28.8608809,77.0959426,POINT (28.8608809 77.0959426),2
291270755,education,college,28.5624369,77.23353399999999,POINT (28.5624369 77.23353399999999),2
291553430,education,college,28.5333499,77.22685909999998,POINT (28.5333499 77.22685909999998),2
291553431,education,college,28.534750800000005,77.22691280000001,POINT (28.5347508 77.22691280000001),2
292045084,education,college,28.6554288,77.1230589,POINT (28.6554288 77.1230589),2
294122280,education,college,28.7331756,77.17153499999999,POINT (28.7331756 77.17153499999999),2
294547165,education,college,28.5912774,77.24690679999999,POINT (28.5912774 77.24690679999999),2
297554492,education,college,28.6960049,77.2092684,POINT (28.6960049 77.2092684),2
303037977,education,college,28.5562315,77.20840809999999,POINT (28.5562315 77.20840809999999),2
351321991,education,college,28.5358647,77.2113476,POINT (28.5358647 77.2113476),2
351396834,education,college,28.629079600000004,77.0417188,POINT (28.6290796 77.0417188),2
358699051,education,college,28.546696700000002,77.1841037,POINT (28.5466967 77.18410369999999),2
402853146,education,college,28.695054700000004,77.2090059,POINT (28.6950547 77.20900589999999),2
402853150,education,college,28.6920497,77.2099058,POINT (28.6920497 77.2099058),2
402853154,education,college,28.686079100000004,77.2059753,POINT (28.6860791 77.20597530000001),2
402853155,education,college,28.6858538,77.2077709,POINT (28.6858538 77.2077709),2
402853157,education,college,28.6843738,77.2103254,POINT (28.6843738 77.2103254),2
424884415,education,college,28.591021899999998,77.16671290000001,POINT (28.5910219 77.16671290000001),2
427196480,education,college,28.636902600000003,77.1711783,POINT (28.6369026 77.17117829999999),2
467108001,education,college,28.6207613,77.0926063,POINT (28.6207613 77.0926063),2
531671391,education,college,28.588721600000003,77.16705470000001,POINT (28.5887216 77.16705470000001),2
585974875,education,college,28.626739500000003,77.23679820000001,POINT (28.6267395 77.23679820000001),2
637912140,education,college,28.680544899999997,77.22518029999999,POINT (28.6805449 77.22518029999999),2
662494564,education,college,28.6794849,77.22206120000001,POINT (28.6794849 77.22206120000001),2
7891819,education,school,28.5419137,77.16779840000001,POINT (28.5419137 77.16779840000001),2
34940753,education,school,28.5385075,77.1382348,POINT (28.5385075 77.13823480000001),2
40837967,education,school,28.7750484,77.1423401,POINT (28.7750484 77.1423401),2
43316275,education,school,28.5623892,77.1571455,POINT (28.5623892 77.1571455),2
43316796,education,school,28.534228000000002,77.21251409999999,POINT (28.534228 77.21251409999999),2
43361906,education,school,28.597466999999998,77.1802789,POINT (28.597467 77.1802789),2
44091823,education,school,28.5403284,77.2018505,POINT (28.5403284 77.20185050000001),2
44091868,education,school,28.5403186,77.20202009999998,POINT (28.5403186 77.20202009999998),2
44092360,education,school,28.539955199999998,77.2037507,POINT (28.5399552 77.2037507),2
47026629,education,school,28.6740659,77.1067785,POINT (28.6740659 77.1067785),2
47026631,education,school,28.6749885,77.1058346,POINT (28.6749885 77.10583459999999),2
47107935,education,school,28.6735906,77.10285879999999,POINT (28.6735906 77.10285879999999),2
58472990,education,school,28.649455300000003,77.04069270000001,POINT (28.6494553 77.04069270000001),2
58472992,education,school,28.648339,77.0420859,POINT (28.648339 77.0420859),2
60882617,education,school,28.795151300000004,77.03790009999999,POINT (28.7951513 77.03790009999999),2
76734524,education,school,28.631216499999997,77.29739190000001,POINT (28.6312165 77.29739190000001),2
76849185,education,school,28.6211307,77.30508209999999,POINT (28.6211307 77.30508209999999),2
76849246,education,school,28.618573100000003,77.3027667,POINT (28.6185731 77.30276670000001),2
76849392,education,school,28.617388199999997,77.3033654,POINT (28.6173882 77.3033654),2
76849406,education,school,28.6093408,77.31160440000001,POINT (28.6093408 77.31160440000001),2
76965008,education,school,28.618093100000003,77.3149253,POINT (28.6180931 77.3149253),2
76965009,education,school,28.617946000000003,77.3086562,POINT (28.617946 77.3086562),2
76965030,education,school,28.6146387,77.31348559999999,POINT (28.6146387 77.31348559999999),2
76965083,education,school,28.6153272,77.31578909999999,POINT (28.6153272 77.31578909999999),2
76977269,education,school,28.6228233,77.3075816,POINT (28.6228233 77.30758160000001),2
76977318,education,school,28.6191174,77.3185833,POINT (28.6191174 77.3185833),2
76977577,education,school,28.6246317,77.3171186,POINT (28.6246317 77.3171186),2
76977620,education,school,28.6217877,77.31754620000001,POINT (28.6217877 77.31754620000001),2
76995143,education,school,28.6081156,77.31381490000001,POINT (28.6081156 77.31381490000001),2
77001172,education,school,28.6016805,77.30590009999999,POINT (28.6016805 77.30590009999999),2
77001246,education,school,28.605200099999998,77.307694,POINT (28.6052001 77.307694),2
77001396,education,school,28.604717100000002,77.3061555,POINT (28.6047171 77.3061555),2
77004707,education,school,28.6000527,77.2938546,POINT (28.6000527 77.2938546),2
77007463,education,school,28.6098505,77.30219609999999,POINT (28.6098505 77.30219609999999),2
77727870,education,school,28.704447299999998,77.1378749,POINT (28.7044473 77.1378749),2
77967781,education,school,28.6865028,77.1654314,POINT (28.6865028 77.1654314),2
77967787,education,school,28.686858899999997,77.1699755,POINT (28.6868589 77.16997550000001),2
77967802,education,school,28.6921673,77.1669431,POINT (28.6921673 77.1669431),2
77967833,education,school,28.689496899999998,77.17104920000001,POINT (28.6894969 77.17104920000001),2
78154548,education,school,28.685505,77.1738057,POINT (28.685505 77.1738057),2
78154758,education,school,28.682845500000003,77.1699747,POINT (28.6828455 77.1699747),2
78164543,education,school,28.6937961,77.18062890000002,POINT (28.6937961 77.18062890000002),2
78164552,education,school,28.6957459,77.1816277,POINT (28.6957459 77.18162770000001),2
78164557,education,school,28.683666600000002,77.18457190000001,POINT (28.6836666 77.18457190000001),2
78164685,education,school,28.6916329,77.18031490000001,POINT (28.6916329 77.18031490000001),2
78175838,education,school,28.696978,77.1843593,POINT (28.696978 77.1843593),2
78180074,education,school,28.705598600000002,77.157158,POINT (28.7055986 77.157158),2
78180267,education,school,28.705689500000002,77.1599644,POINT (28.7056895 77.15996440000001),2
78187945,education,school,28.7067387,77.16479559999999,POINT (28.7067387 77.16479559999999),2
78445739,education,school,28.709857899999996,77.15700809999998,POINT (28.7098579 77.15700809999998),2
78445769,education,school,28.7082935,77.1566406,POINT (28.7082935 77.1566406),2
78445873,education,school,28.7092972,77.1586079,POINT (28.7092972 77.15860790000001),2
78449332,education,school,28.710617300000003,77.1534608,POINT (28.7106173 77.1534608),2
78449388,education,school,28.7109369,77.15617950000001,POINT (28.7109369 77.15617950000001),2
78474966,education,school,28.704902,77.1513408,POINT (28.704902 77.1513408),2
78474972,education,school,28.701813,77.1521937,POINT (28.701813 77.1521937),2
78477044,education,school,28.7003233,77.146565,POINT (28.7003233 77.146565),2
78477050,education,school,28.7003346,77.14977490000001,POINT (28.7003346 77.14977490000001),2
78480645,education,school,28.6975216,77.14747120000001,POINT (28.6975216 77.14747120000001),2
78480652,education,school,28.6992395,77.1435737,POINT (28.6992395 77.1435737),2
78482694,education,school,28.709944899999996,77.1405321,POINT (28.7099449 77.1405321),2
78482763,education,school,28.7176046,77.1435971,POINT (28.7176046 77.14359709999999),2
78482807,education,school,28.7088523,77.13822090000001,POINT (28.7088523 77.13822090000001),2
78482823,education,school,28.705474300000002,77.1404594,POINT (28.7054743 77.1404594),2
78542394,education,school,28.7356216,77.1104005,POINT (28.7356216 77.1104005),2
78542417,education,school,28.734366100000003,77.1090878,POINT (28.7343661 77.1090878),2
78555801,education,school,28.730481400000002,77.1150091,POINT (28.7304814 77.11500909999999),2
78555972,education,school,28.732847399999997,77.11168599999999,POINT (28.7328474 77.11168599999999),2
78563260,education,school,28.729269300000002,77.1239235,POINT (28.7292693 77.1239235),2
78580280,education,school,28.737863899999997,77.1223561,POINT (28.7378639 77.1223561),2
78580300,education,school,28.734766399999998,77.1243599,POINT (28.7347664 77.1243599),2
78595519,education,school,28.7140373,77.1352652,POINT (28.7140373 77.13526520000001),2
78595575,education,school,28.71027,77.13237170000001,POINT (28.71027 77.13237170000001),2
78595581,education,school,28.7159019,77.1374446,POINT (28.7159019 77.13744459999999),2
78595605,education,school,28.712961800000002,77.13355229999999,POINT (28.7129618 77.13355229999999),2
78595621,education,school,28.709194899999996,77.1339191,POINT (28.7091949 77.1339191),2
78601351,education,school,28.7347501,77.13110959999999,POINT (28.7347501 77.13110959999999),2
78601444,education,school,28.729158,77.13104870000001,POINT (28.729158 77.13104870000001),2
78601484,education,school,28.733097100000002,77.1293691,POINT (28.7330971 77.12936910000001),2
78601512,education,school,28.729831400000002,77.1290946,POINT (28.7298314 77.1290946),2
78755705,education,school,28.7153538,77.1785629,POINT (28.7153538 77.1785629),2
78755824,education,school,28.7209718,77.1726705,POINT (28.7209718 77.1726705),2
78786214,education,school,28.734001,77.1686575,POINT (28.734001 77.16865749999999),2
78786253,education,school,28.728168100000005,77.1733444,POINT (28.7281681 77.1733444),2
78786325,education,school,28.7303714,77.1623943,POINT (28.7303714 77.1623943),2
78881660,education,school,28.727731,77.0883171,POINT (28.727731 77.0883171),2
78881684,education,school,28.728475899999996,77.084197,POINT (28.7284759 77.084197),2
78881686,education,school,28.721234999999997,77.0826062,POINT (28.721235 77.0826062),2
78881746,education,school,28.7225109,77.0807358,POINT (28.7225109 77.0807358),2
78881751,education,school,28.7262966,77.08708840000001,POINT (28.7262966 77.08708840000001),2
78881831,education,school,28.726071,77.085026,POINT (28.726071 77.085026),2
80418136,education,school,28.643426899999998,77.2269302,POINT (28.6434269 77.2269302),2
